0,016     499500     249363
0,015     1999000     991778
0,007     499500     249363
0,031     1999000     991778
0,046     4498500     2197033
0,078     7998000     3970189
0,171     12497500     6225210
0,236     17997000     9000675
0,296     24496500     12252603
0,359     31996000     16043789
0,468     40495500     20291747
0,58      49995000     24906107
0,75      60494500     30211293
0,89      71994000     35897442
1,115     84493500     42504676
1,209     97993000     49473330
1,362     112492500     56751478
1,535     127992000     64475466
1,784     144491500     72865418
1,912     161991000     81421593
2,324     180490500     90761494
2,555     199990000     100559188
2,847     220489500     110874358
2,927     241989000     121289119
3,285     264488500     132223859
3,728     287988000     144186647
3,867     312487500     156367252
4,163     337987000     168951342
4,395     364486500     182600921
4,757     391986000     196215409
5,056     420485500     210489582
5,428     449985000     224995283
6,308     480484500     240031006
6,308     511984000     256183777
6,728     544483500     272353284
7,102     577983000     289358238
7,632     612482500     306834786
8,603     647982000     324460359
9,004     684481500     342304796
9,396     721981000     361390052
9,376     760480500     380808532
9,766     799980000     400782731
10,948     840479500     420477937
10,956     881979000     441850475
11,365     924478500     463007302
12,414     967978000     484551382
12,495     1012477500     506667706
12,874     1057977000     529216910
14,178     1104476500     551818605
14,147     1151976000     575323389
15,721     1200475500     599643869
15,695     1249975000     624295565
16,93     1300474500      650078103
17,134     1351974000     675681643
18,309     1404473500     701808903
18,66     1457973000      729165306
19,923     1512472500     756313881
20,441     1567972000     783469878
20,956     1624471500     811349800
22,075     1681971000     840542810
22,172     1740470500     868754229
24,038     1799970000     898439973
24,232     1860469500     929069525
24,918     1921969000     959378271
26,466     1984468500     991710420
26,525     2047968000     1021823286
27,552     2112467500     1054339757
28,983     2177967000     1086997488
29,217     2244466500     1120083839
31,207     2311966000     1154602844
30,984     2380465500     1188866111
32,603     2449965000     1223613977
34,269     2520464500     1259263556
34,313     2591964000     1295671097
36,09      2664463500     1330431147
37,314     2737963000     1367955910
37,769     2812462500     1404509184
38,854     2887962000     1442201418
40,736     2964461500     1481038863
41,819     3041961000     1521321513
42,288     3120460500     1560556798
43,192     3199960000     1599525513
45,307     3280459500     1640460303
45,582     3361959000     1680220172
47,046     3444458500     1721670493
47,418     3527958000     1763517087
48,966     3612457500     1804823099
51,752     3697957000     1846898542
51,858     3784456500     1890344206
53,604     3871956000     1933289323
55,526     3960455500     1977991608
57,241     4049955000     2021950536
59,01      4140454500     2068334174
59,487     4231954000     2114754711
60,322     4324453500     2160680456
63,049     4417953000     2208774219
65,276     4512452500     2254671090
65,919     4607952000     2301742898
68,035     4704451500     2350306153
71,183     4801951000     2399480179
74,282     4900450500     2449805761
77,464     4999950000     2498157002
