0,002     499500     999
0,003     1999000     1999
0,005     4498500     2999
0,007     7998000     3999
0,008     12497500     4999
0,011     17997000     5999
0,024     24496500     6999
0,029     31996000     7999
0,059     40495500     8999
0,068     49995000     9999
0,086     60494500     10999
0,07     71994000     11999
0,052     84493500     12999
0,067     97993000     13999
0,074     112492500     14999
0,084     127992000     15999
0,093     144491500     16999
0,112     161991000     17999
0,126     180490500     18999
0,122     199990000     19999
0,142     220489500     20999
0,163     241989000     21999
0,173     264488500     22999
0,191     287988000     23999
0,206     312487500     24999
0,226     337987000     25999
0,236     364486500     26999
0,237     391986000     27999
0,362     420485500     28999
0,299     449985000     29999
0,329     480484500     30999
0,447     511984000     31999
0,346     544483500     32999
0,402     577983000     33999
0,393     612482500     34999
0,416     647982000     35999
0,445     684481500     36999
0,497     721981000     37999
0,503     760480500     38999
0,518     799980000     39999
0,591     840479500     40999
0,555     881979000     41999
0,585     924478500     42999
0,66     967978000     43999
0,669     1012477500     44999
0,722     1057977000     45999
0,703     1104476500     46999
0,748     1151976000     47999
0,777     1200475500     48999
0,822     1249975000     49999
0,873     1300474500     50999
0,875     1351974000     51999
1,222     1404473500     52999
1,343     1457973000     53999
1,128     1512472500     54999
1,073     1567972000     55999
1,139     1624471500     56999
1,108     1681971000     57999
1,198     1740470500     58999
1,246     1799970000     59999
1,194     1860469500     60999
1,208     1921969000     61999
1,286     1984468500     62999
1,326     2047968000     63999
1,349     2112467500     64999
1,407     2177967000     65999
1,459     2244466500     66999
1,527     2311966000     67999
1,556     2380465500     68999
1,563     2449965000     69999
1,707     2520464500     70999
1,691     2591964000     71999
1,766     2664463500     72999
1,743     2737963000     73999
1,828     2812462500     74999
2,413     2887962000     75999
2,331     2964461500     76999
2,05     3041961000     77999
2,063     3120460500     78999
2,119     3199960000     79999
2,138     3280459500     80999
2,186     3361959000     81999
2,295     3444458500     82999
2,331     3527958000     83999
2,384     3612457500     84999
2,362     3697957000     85999
2,512     3784456500     86999
2,519     3871956000     87999
2,598     3960455500     88999
3,028     4049955000     89999
3,244     4140454500     90999
2,857     4231954000     91999
2,865     4324453500     92999
2,878     4417953000     93999
3,475     4512452500     94999
3,527     4607952000     95999
3,206     4704451500     96999
3,275     4801951000     97999
3,181     4900450500     98999
3,195     4999950000     99999
